Date and time,Cooling,Heating,Total
27/02/2010 09,-99,-99,18.54
27/02/2010 10,-99,-99,17.22
27/02/2010 11,-99,-99,17.28
27/02/2010 12,-99,-99,18.31
27/02/2010 13,-99,-99,15.28
27/02/2010 14,-99,-99,12.26
27/02/2010 15,-99,-99,14.19
27/02/2010 16,-99,-99,13.69
27/02/2010 17,-99,-99,11.94
27/02/2010 18,-99,-99,14.53
27/02/2010 19,-99,-99,13.36
27/02/2010 20,-99,-99,11.5
27/02/2010 21,-99,-99,13.92
27/02/2010 22,-99,-99,11.39
27/02/2010 23,-99,-99,10.41
28/02/2010 00,-99,-99,7.95
28/02/2010 01,-99,-99,9.96
28/02/2010 02,-99,-99,8.45
28/02/2010 03,-99,-99,8.45
28/02/2010 04,-99,-99,9.43
28/02/2010 05,-99,-99,10.4
28/02/2010 06,-99,-99,11.98
28/02/2010 07,-99,-99,11.43
28/02/2010 08,-99,-99,12.94
28/02/2010 09,-99,-99,14.68
28/02/2010 10,-99,-99,16.18
28/02/2010 11,-99,-99,13.35
28/02/2010 12,-99,-99,13.93
28/02/2010 13,-99,-99,11.56
28/02/2010 14,-99,-99,11.29
28/02/2010 15,-99,-99,13.92
28/02/2010 16,-99,-99,13.19
28/02/2010 17,-99,-99,11.33
28/02/2010 18,-99,-99,12.27
28/02/2010 19,-99,-99,13.57
28/02/2010 20,-99,-99,11.97
28/02/2010 21,-99,-99,11.94
28/02/2010 22,-99,-99,12.27
28/02/2010 23,-99,-99,10.33
01/03/2010 00,-99,-99,8.95
01/03/2010 01,-99,-99,8.94
01/03/2010 02,-99,-99,9.4
01/03/2010 03,-99,-99,8.5
01/03/2010 04,-99,-99,8.94
01/03/2010 05,-99,-99,9.66
01/03/2010 06,-99,-99,14.87
01/03/2010 07,-99,-99,19.97
01/03/2010 08,-99,-99,20.8
01/03/2010 09,-99,-99,16.16
01/03/2010 10,-99,-99,15.75
01/03/2010 11,3.98,13.94,17.92
01/03/2010 12,3.98,10.78,14.76
01/03/2010 13,4.98,9.95,14.93
01/03/2010 14,3.14,11.08,14.22
01/03/2010 15,4.97,9.82,14.79
01/03/2010 16,4.76,10.01,14.77
01/03/2010 17,3.05,10.89,13.94
01/03/2010 18,3.98,8.95,12.93
01/03/2010 19,2.97,8.94,11.91
01/03/2010 20,3.88,8.9,12.78
01/03/2010 21,2.99,8.02,11.01
01/03/2010 22,3.07,7.85,10.92
01/03/2010 23,2.97,4.97,7.94
02/03/2010 00,2.98,5.96,8.94
02/03/2010 01,3.93,5.98,9.91
02/03/2010 02,2.68,5.63,8.31
02/03/2010 03,3.33,5.3,8.63
02/03/2010 04,2.98,5.96,8.94
02/03/2010 05,2.98,5.98,8.96
02/03/2010 06,4.97,13.8,18.77
02/03/2010 07,3.97,16.87,20.84
02/03/2010 08,2.02,13.07,15.09
